,Unnamed: 0,0
0,0,"3 Month Contract available| $30-$33 per hour + Super |Full-Time Office Hours based in South Melbourne

Your new company
An excellent opportunity has become available for a Data Analyst / Administrator to join this manufacturing organisation in their South Melbourne office.

Your new role

Daily financial reporting (Excel = VLookups / Pivot Tables)
Organising customer presentations on PowerPoint
General Administration
Data Analysis duties
Tracking back orders within the warehouse
Financial duties (budgets/quotes/price requests/financial reporting)
Entering purchase orders & Invoices for processing
Relevant Ad hoc duties

What you'll need to succeed

Relevant experience in administration and data analyst roles is preferred
Experience using Microsoft Suite (Excel, PowerPoint & Word)
Strong attention to detail
Ability to hit the ground running
Must have professional presentation
Have a ‘can do attitude’
Needs to have 2 x vaccinations (COVID)

What you'll get in return

$30-$33 per hour + Super
Full-Time hours working 8.30am-5pm
Immediate Start
Hybrid role with 2 days working from home and 3 days in the office

What you need to do now
If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV to samantha.leeson@hays.com.au

If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career

LHS 297508 #2640289"
1,1,"Classification: APS Level 6
Salary: $81,950 - $94,141
Location: Canberra, Melbourne or Sydney
About ACLEI

The Australian Commission for Law Enforcement Integrity (ACLEI) is an independent agency within the Attorney-General’s Portfolio, established to support the Integrity Commissioner in carrying out his or her responsibilities for detecting, investigating and preventing corrupt conduct in Australian Government agencies with law enforcement functions. The Integrity Commissioner has extensive powers, including the ability to hold coercive hearings, and ACLEI investigative staff are able to use a range of law enforcement powers to assist in the Integrity Commissioner’s investigations.

At ACLEI, we seek the very best. Attracting and supporting clever, innovative and committed people is essential to ensure ACLEI is well placed to undertake its critical work. We work in a complex and dynamic setting where exceptional judgement and an ability to achieve results are critical.

ACLEI is currently undergoing a process of organisational transformation to ensure we remain fit for purpose in an increasingly complex operating environment. In support of our transformation strategy, we are looking for outstanding individuals with the ability to lead, manage, cooperate and perform successfully across a wide range of corporate and operational functions.

A key focus of ACLEI’s leadership culture is our understanding of, and commitment to, creating a diverse and inclusive environment to bring out the best in our people. You will find ACLEI to be a supportive and inclusive workplace.

About the role

Reporting to the Senior Data Analyst, the Data Analyst will assist with the production of strategic intelligence insights by ACLEI’s Strategic Intelligence and Data Analysis (SIDA) team. The Data Analyst will also help to design, build and maintain agency data assets that support intelligence and investigations more broadly. The role would suit either an intelligence analyst with an affinity for information technology and data, or a data analyst with experience of, or interest in, intelligence practice.

Working as part of a multi-disciplinary team of strategic intelligence analysts and data analysts, the Data Analyst not only extracts, cleanses, manipulates and analyses corruption-related data, but also recognises the most effective means of presenting that data to a broad and varied client base. The Data Analyst is also responsible for:
Working with data across multiple technologies to unlock insights, and inform management and operational decision making.
Educate and inform ACLEI staff on the appropriate use of data, assisting to increase the overall data literacy and maturity of the agency.
Assist with remediating historical data sources, and with the migration of data to new systems and databases.

A full description of the duties and capabilities required for this position can be found in the Information for Applicants document at the bottom of this page.

Eligibility

Employment with ACLEI is subject to the following conditions:



Citizenship – applicants must be an Australian Citizen.
Security clearance – this is a Designated Security Assessment Position (DSAP). The occupant of this position will be required to undergo and maintain a security clearance to Negative Vetting 1.
Police check – successful applicants are required to undergo a mandatory Australian Federal Police Check.
Probation - a probation period will apply to a new ongoing engagement in the Australian Public Service.

We encourage applications from the Australian community including Aboriginal and Torres Strait Islander people, people of all ages, people from culturally and linguistically diverse backgrounds, and people with disability.

Applications Close

Wednesday, 25 May 2022 at 11:30 pm (AEST).

Contacts

The key duties of this position and capabilities required are listed in the Information for Applicants below. If after viewing this information you have questions, please contact Stuart Murnain on 0459 928 025.

For assistance with the online application system, please email recruitment@aclei.gov.au"
2,2,"Do you have expertise in marketing technology and a passion for seeing how omnichannel campaigns come to life? Would you like to apply your expertise to drive exciting data and technology initiatives in a company that follows the science and turns ideas into life changing medicines? Do you want to work in a company that lives and breathes diversity and inclusion? Then a career in the Commercial IT team at AstraZeneca might be just what you are looking for.

ABOUT ASTRAZENECA
AstraZeneca is a global, science-led, patient-focused biopharmaceutical company that focuses on the discovery, development and commercialisation of prescription medicines for some of the world’s most serious diseases. But we’re more than one of the world’s leading pharmaceutical companies. Our ambition is to transform our company and through science, technology and data, we will improve healthcare and positively impact the lives of millions of people.

BUSINESS AREA
The ANZ Commercial IT team helps enable AstraZeneca to perform at its peak by delivering world-class technology and data solutions. Our work unlocks the potential of science. We are helping lead AstraZeneca’s transformation through an exciting variety of projects and opportunities that build our digital and data capabilities to power our business.

Applying our skills for good, we feel a pride like no other as we positively impact patients across the world. We challenge, innovate, and break away from the norm to find ambitious new ways of approaching every new day. AstraZeneca is a place to realise the true impact that data and digital can make. We love contributing to our purpose – to deliver life-changing medicines – and it makes us proud to work here.

What you’ll do
Provide day to day administration and technical support for the rapidly developing ANZ omnichannel environment. You will be responsible for the operational support of digital and data applications, platforms, environments, and other related technology. You will work with your IT colleagues and the Commercial Excellence & Innovation team with a primary focus on delivering on our Omnichannel objectives which will include focus on campaign microjourneys and our single view of the customer.
What you can bring to the role:
Ideas, diverse thinking, and a willingness to share your thoughts
Strong interpersonal skills and a cooperative, supportive, sensitive approach to our stakeholders needs
Some relevant experience in a similar digital marketing support or administrator role
Knowledge and experience of omnichannel and the benefits it brings
Strong troubleshooting and root cause analysis skills
Some experience of cloud-based applications and the ability to collaborate constructively with our Digital & Analytics teams
Some SQL query and data analysis experience in environments such as Redshift or Snowflake
Experience in the scheduling and monitoring of jobs/tasks using tools such as Airflow and Unix
Demonstrated technical experience in supporting omnichannel platforms
The ability to interpret and communicate detailed technical information in a way that others can understand
A desire to keep learning
What we would like you to do when you become our Omnichannel Support Analyst:
Help set-up and test digital campaigns, microjourneys, data sources and integrations
Collaborate and communicate with other internal teams, partners and vendors to resolve setup and support issues
Troubleshoot issues related to data and data sources
Collaborate on new data projects, applications and enhancements for our digital channels
Assist with continual system & process improvements
Technical documentation (yes there is some, but we think it’s very important to do it well)
Some other things that may help you to help us:
Experience of working in a global organisation with a complex/geographical context – AstraZeneca is big
We have a flexible approach that allows us to balance home life with the challenges that come with working in a global organisation
Familiarity with software development lifecycles
Experience with Agile and ITIL methodologies
Some familiarity with Jira/Confluence
Knowledge of specific omnichannel tools such as Tealium and Adobe products.
A logical mind and the ability to complement your team mates to achieve the right outcomes
Why AstraZeneca?
At AstraZeneca we’re dedicated to being a Great Place to Work and we are an Employer of Choice for Gender Equality. At AstraZeneca you are empowered to push the boundaries of science and unleash your entrepreneurial spirit. There’s no better place to make a difference to medicine, patients and society. We have an inclusive culture that champions diversity and collaboration, and we are committed to lifelong learning, growth and development. We’re on an exciting journey to pioneer the future of healthcare.

So, what’s next?
Are you already imagining yourself joining our team? Good, because we can’t wait to hear from you
Are you ready to bring new ideas and fresh thinking to the table? Brilliant! We have one seat available, and we hope it’s yours
If you’re curious to know more then please reach out to Danielle Jones. We welcome your application.

Where can I find out more?
Our Social Media, Follow AstraZeneca on LinkedIn
Visit https://www.astrazeneca.com.au/ and https://www.astrazeneca.com/"
3,3,"Xero is a beautiful, easy-to-use platform that helps small businesses and their accounting and bookkeeping advisors grow and thrive.

At Xero, our purpose is to make life better for people in small business, their advisors, and communities around the world. This purpose sits at the centre of everything we do. We support our people to do the best work of their lives so that they can help small businesses succeed through better tools, information and connections. Because when they succeed they make a difference, and when millions of small businesses are making a difference, the world is a more beautiful place.

About the team:

The Data team is responsible for driving the adoption of data driven decision making across Xero - for both our internal users and our global audience of small business owners, bookkeepers and accountants. We create, manage and deliver a wide range of data services including core reporting, key data dimensions, extensible and scalable analytical data processing and storage facilities, machine learning toolsets, frameworks and API driven prediction services.
We are the center of expertise for data architecture, data modeling, machine learning, ethical data usage and artificial intelligence service design. We lead the effort to raise the data and AI literacy levels across Xero.

About the role:

As a Data Enablement Analyst you’ll play a key role in our transformation program to become a more Data Savvy Xero. This is a unique role using your data analysis background and expertise to help to shape and embed the new ways of working for all Xero's to make more data-driven decisions, and use our new analytical data platforms.

You’ll be working closely with your colleagues in the Evangelism, Governance and Data Strategy team, helping Xero's across the globe access the data required to answer important business questions, and educating them to be self-sufficient users of the available data consumption layers as they evolve and mature.
What you'll be doing:
Create and deliver bespoke data extracts and reports for your fellow colleagues
Use relational database technologies and SQL to source the required data, apply business rules and organise it into the most effective format.
Work with very large datasets and gain exposure to modern cloud based data platforms and tools.
Use our analytics platform to create interactive dashboards to present your data and insights back to the business users.
Champion the adoption of data-informed decision making for all Xeros and help to build the data literacy and data culture.
Work collaboratively with technical and non-technical stakeholders to help evolve the ways of working using Xero’s analytics platform.
Develop relevant, effective onboarding and education materials to support the adoption of data-informed decision making.
Identify opportunities for continuous improvement for systems, processes and content.
What you'll bring with you:
2+ years experience working as a Data Analyst
Experience writing SQL queries and navigating reasonably complex data warehouses / marts
Strong knowledge of data analysis best practices and a drive to help others improve their own practices
Experience unpacking challenges and working to shape ambiguous problems into clearly understood and answerable forms
You have a passion for growing levels of data empowerment through documentation, coaching and communications
By joining Xero you’ll be working in a rapidly growing global company that is making life better for people in small business, their advisors and communities around the world. We believe in inspiring people to do the best work of their lives, if you do too then apply!

Why Xero?

At Xero we support many types of flexible working arrangements that allow you to balance your work, your life and your passions. We offer a great remuneration package including shares plus a range of leave options to suit your well-being. Our work environment encourages continuous improvement and career development and you’ll get to work with the latest technology.

Our collaborative and inclusive culture is one we’re immensely proud of. We know that a diverse workforce is a strength that enables businesses, including ours, to better understand and serve customers, attract top talent and innovate successfully. We are a member of Pride in Diversity, in recognition of our inclusive workplace. So, from the moment you step through our doors, you’ll feel welcome and supported to do the best work of your life."
4,4,"Based in Business and Intelligence Planning at the City West campus
Full-time, continuing position
Commencement Salary: $90,234 per annum (plus 17% superannuation)




About the Role

As an expert in data analytics and with a specialist knowledge of various business intelligence tools, you will analyse and interpret complex data sets to provide innovative solutions that support university-wide performance monitoring, decision-making and compliance reporting activities. You will design, develop, and manage projects to support strategic decision making, and continually review and improve a suite of core performance reports and data analysis tools that are aligned with the University’s strategy.

You will lead the development and implementation of a quality training program for professional and academic staff and be highly skilled in the presentation of multifaceted data sets to a range of audiences.

About UniSA

The University of South Australia is Australia’s University of Enterprise. Our culture of innovation is anchored around global and national links to academic, research and industry partners. Our graduates are the new urban professionals, global citizens at ease with the world and ready to create and respond to change. Our research is inventive and adventurous and we create new knowledge that is central to global economic and social prosperity.

Core Responsibilities


Analyse and interpret qualitative and quantitative data through the application of various business intelligence tools
Provide specialist advice on institutional and market information for strategic planning, institutional benchmarking, and university-wide performance measurement
Evaluate, prioritise, and respond to data requests from key internal and external stakeholders
Utilise a variety of methods and tools to interpret and present complex data and information to audiences at all levels
Develop and maintain effective business partnerships, using a consultancy approach



Essential Skills and Experience


Relevant tertiary qualification and experience in a relevant field, or an equivalent combination of relevant experience and/or education
Expertise in the use of Business Intelligence tools and statistical techniques
Ability to extract, manage and manipulate complex datasets
High level writing and presentation skills, and ability to present information in a clear and concise manner
Well-developed business partnership skills, with experience in negotiating and problem-solving with clients



Benefits


Getting a great job working with the best is just the start. UniSA rewards its staff with a wide variety of benefits such as:
Access to great personal development opportunities
Generous superannuation contributions of 17%
Flexible working conditions
Employee assistance and development programs
A range of salary packaging options, including vehicle leasing, laptops and car parking fees



Culture

As a University of Enterprise, we offer a dynamic and agile workplace culture, one that embraces challenges and thrives on breaking new ground. Our staff are creative and innovative thinkers, communicating with clarity, conviction and enthusiasm. We embrace diversity and inclusion in a vibrant, engaging environment. Our people are authentic, resilient, and influential, and we deliver results.

How to Apply

For a copy of the position description and to apply, please visit Working at UniSA. The online application form will list the specific selection criteria that you need to address.

Please address your cover letter to Jade Windsor, Senior Consultant: Recruitment Central. For further information about the position or the recruitment process, please contact UniSA Recruitment Central on +61 8 8302 1700 or via email at recruitment@unisa.edu.au using job reference number 4029.

Applications close: 11.30pm Wednesday 1 June 2022

Applications welcomed from Australian or NZ citizens, Australian permanent residents and those who have the legal right to work in Australia for the term of appointment.

#LI-DNI"
5,5,"If you’re considering a tree change, Western New South Wales provides one of the best Australia has to offer!

To be considered for interview, candidates must address the Selection Criteria in the Position Description.


Employment Type: Permanent Part Time
Position Classification: Health Manager Level 2
Remuneration: $50.52 - $59.88 ph plus super
Hours per week: 32
Location: Negotiable within Western NSW Local Health District

Data Analyst
Health Intelligence Unit



About the role:
The Data Analyst provides analysis and interpretation of data and advises on its applicability to improving organisational performance and patient outcomes and is responsible for the development of reports, including data collation, quality assurance processes, data submission and related stakeholder education.

This is a targeted position in accordance with GSE Rule 26: Employment of eligible persons. Whereby Aboriginal and Torres Strait Islander people are encouraged to apply and, where found suitable, will be given higher priority under affirmative action in order to improve access to employment and career opportunities. In the event there are no suitable Aboriginal or Torres Strait Islander applicants, then applications from non-Aboriginal and/or Torres Strait Islander applicants will be considered.

Where you’ll be working:
Health Intelligence Unit- Planning, Performance & Funding Directorate, a part of the Western NSW Local Health District. For more information on living and working in our beautiful region, visit our website Western NSW Health Careers.

The Western NSW Health Intelligence Unit (HIU) is an established shared resource for health partners in the western NSW region, as defined by the Primary Health Network boundaries, and including both the Western and Far West NSW Local Health District regions.

The HIU provides a central hub of expertise to coordinate and provide analysis of data and interpretation of information to inform clinical / operational decision making and support a collaborative approach to health and social care planning, delivery and evaluation in Western NSW.

We are committed to providing our partners with a set of core Services to facilitate the delivery of a truly integrated system of care.
These include:
Analytics and Reporting Products and Services;
Advisory and Planning Services; and
Business Enabling Products and Services.



The key objective of the HIU is to provide analytic, research and evaluation services that will support the capability of healthcare organisations and providers across the region to interpret and use data and information to achieve their organisational outcomes as well as support a collaborative approach to health and social care planning, delivery and evaluation.



About us:
WNSWLHD is the largest employer in the region, with over 7,700 dedicated staff working across 3 major rural referral hospitals, 50 community health centres, numerous corporate and executive offices and 38 inpatient facilities – which include 25 multipurpose services and 4 district health services.
Watch our video to see what it is like working with Western NSW Local Heath District.
Some of the benefits of working with us include:
Genuine support in an inclusive, compassionate and caring team environment.
Interesting and challenging work that will bring your purpose to life, broaden your scope and fast track your career.
Greater autonomy and responsibility to reach your full potential.
Opportunities to make an impact and shape the future of rural health through involvement in projects, innovations and research.
Opportunities for learning and development, including access to a mentoring program and in-house training with our Organisational Development Unit and eLearning system.
Access to Fitness Passport and free and confidential counselling services.


How to apply:
Candidates must read the Position Description and address the Selection Criteria for the role, providing examples where required. You must also upload a copy of your current CV as part of your application. For assistance, see our Guide to Employment with WNSWLHD. For further information on the remuneration and conditions, visit NSW Public Health System Awards.

Candidates should note we are unable to sponsor working visas for this position.

Applications will close 25 May 2022 – 11:59pm.

For role related enquiries, please reach out to Sarah Sloane on 0418 209 257 and sarah.sloane@health.nsw.gov.au

COVID-19 Response
All NSW Health workers are required to have received at least one dose of a COVID-19 vaccine by 30 September 2021 and two doses by 30 November 2021 or have an approved medical contraindication certificate. You will be required to provide a record of your COVID-19 vaccination status if successful for this role.

Talent Pool
If we identify a surplus of suitable candidates for this role, you may also be invited to an eligibility list where you could be offered an alternative position per the relevant Award."
6,6,"Aufgaben
The Role
Working for Mercedes-Benz Vans Australia in this full time, permanent position, you will become a brand ambassador and embody our reputation for service excellence and our care in providing flexible, innovative and tailor-made solutions.
This newly created role works within our Network Development & Data Insights team to develop analytics solutions based on business reporting requirements for the Mercedes-Benz Vans business. Ultimately this role will support and collaborate with the business to use data to better understand our customers, leading to the delivery of better customer experiences.

Key responsibilities:

Assist with understanding business stakeholder’s data requirements for reporting and dashboards
Investigate data quality issues, conducting root cause analysis and oversee action plans for remediation
Briefing management on data management initiatives and remediation progress for known data quality issues
Insights generation & analysis from leading data sources
Assist in stakeholder management by providing reports, insights and actionable recommendations
- Data Governance - champion and support an organisational understanding of the role of data

Understand and contribute to the definition of the type of data captured across the business
Enhance the Data Governance and Management artefacts as required
Qualifikationen
What we’re looking for

2-3+ years working with customer data, databases and experience working on projects in a corporate environment
Broad knowledge of databases and database formats. Specific knowledge in SQL required and knowledge of statistical programming languages, such as Phython or R, would be advantageous
Experience in data visualisation tools such as Tableau or Power BI is required
Knowledge of Microsoft Azure would be advantageous
High degree of computer proficiency required, including advanced knowledge in Excel and statistical methods
Experience in data management and data governance principles
Knowledge of information security and privacy laws in the online space
Bachelor’s degree or equivalent years’ experience in Computer/Information Science
Professional, confident and consultative approach with strong customer-facing and interpersonal skills
Excellent attention to detail skills with a curious, inquisitive nature and a strong desire to learn and develop

Are you the right person to take on this exciting opportunity? Apply with your cover letter and resume by 27 May 2022.

This is a local, permanent role. You must have a valid working visa for Australia / New Zealand, to be able to apply for this position."
7,7,"Data Analyst (Behavioural Advisor)
NSW Behavioural Insights Unit


Part-time opportunity (3 days per week)


Are you passionate about making a social impact through innovative uses of data? Are you experienced in putting this passion into practice?
Can you work with others in a team to turn analysis of customer needs into ideas for change that can be implemented and evaluated?


Why Department of Customer Service
The Department of Customer Service (DCS) is a central agency of NSW Government, comprised of agencies and business units that deliver regulatory and other services to the people of NSW and across the NSW Government. We are committed to championing the interests and perspectives of NSW citizens to deliver better customer service outcomes.
Take a look at the Department of Customer Service website at https://www.linkedin.com/company/nswcustomerservice/about/ to learn more about us: In addition, see why you should work for NSW at http://iworkfor.nsw.gov.au/why-work-for-nsw.
About the Team
The NSW Behavioural Insights Unit uses the latest research about how people really think and act to help NSW Government agencies deliver better services to citizens. Data and evidence are at the core of what we do. To learn more about what we do, visit https://www.nsw.gov.au/behavioural-insights-unit.
About the Role
You will work collaboratively delivering research and data analysis to develop, test and deliver behavioural interventions and inform advice to Government agencies. Your data capability will support our team to achieve its mission. Key challenges for a Data Analyst (Behavioural Advisor) include:
Obtaining and analysing complex qualitative or quantitative data.
Presenting information in attractive and compelling ways.
Conducting and synthesising actionable research so it supports the design and delivery of better services for NSW citizens.


On an average day you might:
Conduct rigorous and timely descriptive and regression analyses on data describing customer behaviours to inform the development of BI interventions and/or evaluate the effectiveness of BIU’s interventions.
Communicate with Behavioural Advisors in our team on how best to approach collecting or analysing data, so that their advice to stakeholders or intervention design generates robust and reputable evidence of impact.
Graphically bring data to life by creating compelling, share-worthy visualizations or write a story about our data, to be shared with decision makers, our partner agencies or the public.
Learn from and collaborate with other Data Analysts and Behavioural Advisors in an environment of curiosity and mutual support.
Help the NSW BIU develop an even more user-centric and user-friendly approach to data and insights.


Capabilities of a Data Analyst (Behavioural Advisor)
The general capabilities and experience we require will reflect your own unique balance of:
An understanding of behavioural science and how it can be applied to help solve policy problems and improve customer outcomes.
Design evaluations software to test the success of interventions and/or understand the behaviour of people.
Conduct data analysis in statistical analysis software to test the success of interventions and/or understand the behaviour of people.
Support questionnaire design, programming and distribution.
Support collection of data and data cleaning.
Support the use of digital solutions with our partners e.g., helping the partner with email campaign software or survey software or dashboards.
Synthesise research to develop advice for non-academic audiences.
Provide general support to the project team on projects, including project management routines, fieldwork (e.g. interviews or focus groups), field visits, research design input, data governance, survey development.


Essential skills
Working knowledge of statistical analysis software such as RStudio, STATA, SPSS or SAS.
Tertiary education included psychometrics, econometrics, or statistics.
Experience in research and statistical data analysis.


Desirable but not essential
Tertiary education or applied experience in a related field such as behavioural economics, psychology, behavioural or decision sciences.


How to Apply
Your application should include a cover letter of no more than 2 pages and an up-to-date resume of no more than 5 pages which clearly details your skills and experience as relevant to this role. Applicants invited for interview will be required to complete additional assessments.


Please note a talent pool may be created for future ongoing and temporary opportunities (active for 18 months).
For enquiries regarding this position, please contact Jeanette Deetlefs on jeanette.deetlefs@customerservice.nsw.gov.au.
Salary grade 7/8, with the base salary for this role starting at $99,431 base plus superannuation.


Based on our current Work, Health and Safety (WHS) requirements, and in line with our Mandatory Vaccination Policy, it is a condition of engagement for a role within Service NSW/Department of Customer Service that staff be fully vaccinated against COVID-19. Successful applicants will be required to provide proof of their COVID-19 vaccination status or have an approved medical contraindication certificate. Any relevant medical circumstances impacting on the ability to obtain a COVID-19 vaccination will be considered. These requirements apply to both internal and external preferred candidates and must be completed prior to commencing in the position. If you have a medical contraindication which may prevent you from complying with this requirement, please contact kayla.hogan@customerservice.nsw.gov.au to discuss your circumstances.
Closing Date: Wednesday 25th May 2022 at 9:59am.
Working at Department of Customer Service
The Department of Customer Service (DCS) is a great place to work! Our values of accountability, trust, service, and integrity drive our initiatives and culture. We support innovative programs in areas as broad as digital government, consumer protection and major public works. We are an inclusive organisation that celebrates diversity and flexible work practices and believe our people are our greatest asset.
Visit our Careers site to find out what it means to work for us.
Our Commitment to Diversity, Inclusion & Flexibility
We are committed to diversity, inclusion, and new ways of working.
The Department of Customer Service serves all the people of NSW and we want to reflect that diversity in our people. We welcome and encourage applications from people with disability, Aboriginal and Torres Strait Islander peoples, culturally and linguistically diverse groups, the LGBTIQA+ community, veterans, carers, refugees, people in regional NSW and people of all ages. We strive to be an inclusive workplace where all our people can bring their authentic selves to work without judgement.
We understand that there are different ways of getting the job done and offer flexible working arrangements where and when possible.
If you do require an adjustment during the recruitment process, please notify us on your application form or contact the recruiter via kayla.hogan@customerservice.nsw.gov.au."
8,8,"20 hours per week with flexibility regarding your assigned days
Silverwater office
Positive team approach
EQUANS ANZ is part of a global, technical services leader, and part of the ENGIE Group. Our local team of qualified technicians and support staff delivers value for customers by balancing cost, risk and performance, while having access to a global network of experts. We design and provide customised solutions for our clients to support them in their energy, industrial and digital transitions.
With nearly 900 highly qualified employees across 20+ locations in Australia and New Zealand, we provide excellent technical know-how in design, installation and maintenance, with a unique combination of skills in Mechanical, Fire Protection, AV and Electrical and Communications Services.
Reporting to the Head of Legal this role will gather, sort, and analyse a range of confidential information to provide to external providers on a specific project. The role will work closely with HR, IT and Legal.
This opportunity will be working 20 hours per week on a Fixed Term 6 month contract.
Role overview
Identify data relevant to the project
Liaise with external advisors to ensure data is presented in most accessible format
Flag any blockers to completion
Identify any missing or corrupted data and work with HR and IT to find or recover that data
You must comply with all Health Safety & Environment compliance requirements, as they apply to your position, other team members and to the Company.
Recommend effective resolution to systemic issues in a timely manner
Key Skills & Experience Required
Experience in a similar role is essential with strong skills in gathering, sorting and presenting data
Strong data entry and accuracy
Advanced Excel including Macros knowlegde
Exceptional presentation and communication skills
If you are interested in working 20 hours per week on a 6 month contact, then please express your interest today for an immediate commencement.
Next Step
If you are interested and meet the selection criteria apply with an up-to-date resume via the application instructions on this website.
Please note that we can only accept applications from those with full working rights in Australia.
EQUANS is an Equal Employment Opportunity (EEO) employer where all employees have the right to be treated equally in all aspects of their jobs. We promote diversity in the workplace, and we welcome applications from Indigenous Australians and people from all backgrounds and abilities.
We will not be engaging the services of a Recruitment Agency and ask all interested candidates to apply directly via this advertisement.

Job
: Administrative Support / Secretary / General Services
Primary Location
: Oceania-Australia-New South Wales-Silverwater
Organization
: ANZ
Schedule
: Full-time
Nature of Responsibility
: Operational / Administrative role
Job Posting
: May 11, 2022, 2:46:12 AM
Job Type
: Temporary"
9,9,"Want to do the best work of your life? Make your mark at Europe’s leading entertainment brand. Our people make Sky a truly exciting and inclusive place to work – a place where you can be yourself and let your skills shine.
As a member of the Advanced Analytics team looking after NOW, you’ll be using cutting edge technologies & techniques to help drive decision making for one of the streaming leaders in the UK. Delivering business critical insight and innovative solutions for new products and initiatives is what we excel at and with your help, we will aim to supercharge the market understanding and strategic perspective of our stakeholders throughout the organization. Working collaboratively across multiple teams, you will be the expert channelling the power of data to help them make better decisions using numbers.
What you’ll do:
Develop relationships with stakeholders to reach a deep understanding of their business
Be the expert in the end-to-end process of testing within the NOW product – including setting up a statistically robust test, useful and clear measurement of the impacts and communication of conclusions to the business
Develop and recommend strategies for optimising the product further, based on previous performance and business priorities
Find opportunities for the use of our data science capabilities across the product, and be proactive in getting plans created to test and prove benefit of these ideas
What you’ll bring:
Proficient in SQL (BigQuery being a plus) as well as data visualisation tools such as Tableau
A technical and analytical mind with a background in statistics and experimentation
Self-starter who’s constantly curious about what numbers are telling us and how they can be actioned to improve the experience of our members
Aptitude for problem solving and multitasking
Integrity: Willingness to speak your mind on difficult issues, whilst at the same time being humble and able to ask for help
Strong interpersonal skills with proven record in fast paced and quick changing environment
Team Overview:
Group Data Hub
Want to unlock the power of data? Our Group Data Hub works with millions of data transformations every day to deliver value, improve customer experience and enable new product launches. From architecture to analytics and engineering to science: it’s how we bring customers more of what they love.
How you'll work:
We know the world has changed, and we want to offer our employees the chance to collaborate at our unique office spaces, whilst enjoying the convenience of working from home.
We've adopted a hybrid working approach to give more flexibility on where and how we work. You'll find out more about what this means for this role during the recruitment process.

Your office base:
Osterley:
Our Osterley Campus is a 10-minute walk from Syon Lane train station. Or you can hop on one of our free shuttle buses that run to and from Osterley, Gunnersbury, Ealing Broadway and South Ealing tube stations. There’s also plenty of bike shelters and showers.
On campus, you’ll find 13 subsidised restaurants, cafes, and a Waitrose. You can keep in shape at our subsidised gym, catch the latest shows and movies at our cinema, get your car washed and even get pampered at our beauty salon.
We bring the best from the global market into Sky – we buy technology, marketing, corporate, operational services and editorial production solutions. We are an international team working with our stakeholders our partners to curate the most effective and efficient customer-led operating model. High ethical standards are embedded in our team, and we engage our supply chains in creating a sustainable future!
The Rewards:
There’s a reason people can’t stop talking about #LifeAtSky. Our great range of rewards really are something special, here are just a few:
Sky Q, for the TV you love all in one place
A generous pension package
Private healthcare
Discounted mobile and broadband
Inclusion:
We take pride in our approach to diversity and inclusion: we’ve been recognised by The Times and Stonewall for this, and we’ve committed £30million to support the fight against racial injustice. We’ve also set ambitious targets for increasing ethnic diversity and representation throughout our organisation.
At Sky we don’t just look at your CV. We’re more focused on who you are and your potential. We also know that everyone has a life outside work, so we're happy to discuss flexible working.
And we'll do everything we can to support you during your application. If you need us to make any adjustments to our recruitment process, speak to our recruitment team who will be happy to support you.
Just so you know: if your application is successful, we’ll ask you to complete a criminal record check. And depending on the role you have applied for and the nature of any convictions you may have, we might have to withdraw the offer.
Why wait?

Apply now to build an amazing career and be part of a brilliant team. We can’t wait to hear from you.

To find out more about working with us, search #LifeAtSky on social media. A job you love to talk about."
